@AppleSupport are the call centres closed for the night?,,,,,,,,,,,,,,,,,COMPLAIN,(OR SUGGEST)
After update #ios1103 no spotify on my lock screen?@AppleSupport,,,,,,,,,,,,,,,,,IOS,
And why is my music NEVER in my control center?! @AppleSupport,,,,,,,,,,,,,,,,,HARDWARE,
@AppleSupport ...cost for sending in for diagnosing a problem if it's out of warranty?,,,,,,,,,,,,,,,,,ICLOUD,
My iPhone has erased and re-added emails dating back from 2013 til now twice in the past 24 hours. Wth??? @AppleSupport,,,,,,,,,,,,,,,,,HUMAN,
"@AppleSupport 11.1?? when did that come out lol, i talked to you guys last night and you asked if i was updated to 11.0.3 which i am lol",,,,,,,,,,,,,,,,,NETWORK,
"@AppleSupport still happening, including on iOS 11.2 beta now. any ideas?",,,,,,,,,,,,,,,,,PURCHASE,
Series1 #Applewatch would consistently get 18 hrs + per charge prior to last update. Now 12-13 hrs max.Died @ gym 2nite. Wtf @AppleSupport ?,,,,,,,,,,,,,,,,,,
@AppleSupport My wife made the mistake of updating to 11. How can we revert back? Her password keeper app is now dead. She can't access her passwords.,,,,,,,,,,,,,,,,,,
@AppleSupport i have 256 hd and timemachine/system is taking up 150gb of space. I only have 25gb free. Is it suppose to work like this?,,,,,,,,,,,,,,,,,,
@AppleSupport so it cant be disable? umm ya.. problem comes oftenly when my iphone just woke up. kindly please gimme some advices to heal that issue,,,,,,,,,,,,,,,,,,
@AppleSupport ya.. i did that way like 3-4times for make my screen finally worked out. whats the causes anw?  what tips to prevent it wont happen again?,,,,,,,,,,,,,,,,,,
"@AppleSupport is that safe if we disable passcode for unlock iphone? i mean,is the fingerprint still worked out? i think dat would be enough",,,,,,,,,,,,,,,,,,
@AppleSupport I bought an iPhone 8 with AppleCare+. Wanting to return the iPhone 8. What happens with the AppleCare+?,,,,,,,,,,,,,,,,,,
@AppleSupport But would it work with another phone brand?Like LG galaxy phones?,,,,,,,,,,,,,,,,,,
@AppleSupport Does the person you send it too also have to have a iPhone to see this?I see it on my phone.,,,,,,,,,,,,,,,,,,
