TYPE,TEXT
HUMAN,@AppleSupport are the call centres closed for the night?
APPS,After update #ios1103 no spotify on my lock screen?@AppleSupport
APPS,And why is my music NEVER in my control center?! @AppleSupport
HUMAN,@AppleSupport ...cost for sending in for diagnosing a problem if it's out of warranty?
APPS,My iPhone has erased and re-added emails dating back from 2013 til now twice in the past 24 hours. Wth??? @AppleSupport
HARDWARE,Series1 #Applewatch would consistently get 18 hrs + per charge prior to last update. Now 12-13 hrs max.Died @ gym 2nite. Wtf @AppleSupport ?
IOS,@AppleSupport My wife made the mistake of updating to 11. How can we revert back? Her password keeper app is now dead. She can't access her passwords.
HARDWARE,@AppleSupport i have 256 hd and timemachine/system is taking up 150gb of space. I only have 25gb free. Is it suppose to work like this?
HUMAN,@AppleSupport I bought an iPhone 8 with AppleCare+. Wanting to return the iPhone 8. What happens with the AppleCare+?
NETWORK,@AppleSupport updating xcode via appstore. 7-min remaining 6-hr ago. 1-min rem for over an hour. Why? My net bandwidth is good.
HARDWARE,"@AppleSupport after I upgraded my iPhone to iOS 11.0.3, the back camera and the flash stopped working. Could you do something?"
COMPLAIN,@AppleSupport is my #IphoneX really going to ship between December 5-11? I preorder right when preordering open at 12:01
COMPLAIN,@115858 @AppleSupport how will iphone x recognize me with face id if I am wearing my du rag?
COMPLAIN,@AppleSupport It's a shame that Siri can't be used to turn off the timer. Pain to do it with messy hands. Send to the idea file?
IOS,@AppleSupport is there a way to opt out of iMessage and FaceTime during initial setup on an iPhone?
COMPLAIN,@AppleSupport Why do you keep charging my card for FREE apps? Im not happy at all.
COMPLAIN,@115858 @AppleSupport sooooooo any plans to fix all these bugs from the software updates for the iPhone 7??
HARDWARE,"@AppleSupport Im using iPhone6s,it is installed with iOS 11.0.3 n battery drain problem is not resolved in it.When they resolve this issue in wht update?"
IOS,"@118721 @AppleSupport my iPhone is not syncing and stuck on 'Copying diagnostic information'? 6s, latest version iOS and iTunes."
HARDWARE,@AppleSupport MacOS Sierra is taking up over 100G of my 120G SSD. Why does it take up that much space and can I do anything about it?
HARDWARE,"4 hrs w/iOS 11.1, no change in battery consumption @AppleSupport. Thanks anyway. Can we have iOS 10 back @115858?"
HARDWARE,Anyone else having battery issues in IPhone? Degrading way to fast. @AppleSupport
HUMAN,@AppleSupport why my phone doing this????
HARDWARE,"@AppleSupport the screen had green lines on one side and then stopped working altogether. Afraid I can't remember the OS, I expect it was in the latest OS when it broke about 8 weeks ago if hat helps?"
HARDWARE,@AppleSupport My MacPro is burning up while in sleep mode. Reliably returning to a computer thats been overheating for hours. Who pays when something burns out on a super expensive machine due to a glitch?! #Apple #MacPro
IOS,@115858 @AppleSupport my phone crashed for no reason. What you gonna do about it? I'm stressed and depressed right now. Thanks
COMPLAIN,@AppleSupport Thanks! But it used to be so nice when I could limit the number of episodes downloaded but still have some pre-downloaded for flights n things. Is the setting coming back?
APPS,"@AppleSupport Hi, it looks like I can no longer set the Podcasts app to only keep two recent episodes, and now a bunch of my podcasts are piling up and eating up my storage. Am I missing something or is this setting gone forever?"
COMPLAIN,@AppleSupport can I get any help on here?? Or is this not a support account at all?
IOS,@AppleSupport Maybe it's the phone making problems? Maybe I should do the iOS updates?
IOS,@AppleSupport force touch for app multitask gone in iOS11 ?
IOS,"@AppleSupport Sometimes they're connected, sometimes they're not. Sometimes it even says bluetooth not available in the bar on top yet one will be connected!? Started after I updated."
NETWORK,"@AppleSupport @115714 Can anyone elaborate on this? I was able to get a MMS through on the Sprint services but when connected to any wifi, yes I have tried multiple, it will not progress past 95%. What gives @applesupport why is my Iphone 7 Plus unable to do this? Time to switch to @122609 ?"
COMPLAIN,I am so freaking tired of my iPhone not being able to send pictures in text messaging. I have MMS turned on and I have reset my network settings. Anyone have a suggestion? @AppleSupport @115714
HUMAN,@115858 HELP how can I fix this problem immediately ? #Apple #iOS11 @AppleSupport
HARDWARE,@AppleSupport But this does not solve the battery. When will they provide an update that resolves battery consumption?
ICLOUD,"@AppleSupport Why can't I log into my icloud on my Iphone 7 plus?  My phone updated, logged me out of everything and won't take new pw."
IOS,"After the last update, I cannot hear my phone calls. What is happening? @115858 @AppleSupport"
APPS,@AppleSupport how can I unsubscribe to an auto renewing app in my iPhone?
HARDWARE,@AppleSupport My iPhone screen glass is completely cracked. Still the touch screen works. Can I change the glass alone or the display too?
APPS,Hey @AppleSupport @115948 it seems like my music library does not save my spot in the library if I leave the app. I do not close the app I just pause for about an hour and then it forgets my spot? Can you guys fix this in your next update please? Thanks!!!
HUMAN,@AppleSupport Is there any possibility to combine two Apple-IDs?
COMPLAIN,@AppleSupport How can you release something with so many bugs?! Was it even tested?
IOS,@AppleSupport is there a way I can uninstall iOS 11 and go back to 10?
APPS,@AppleSupport why on my Apple Watch series 3 when I start the activity tracker on stair stepper it shows 0 total and active calories?
HARDWARE,@AppleSupport - iPhone 6S Plus suddenly losing battery life since yesterday - % goes down by the second. Any ideas on what it might be?
HARDWARE,@AppleSupport How can I connect an external microphone to diphone 6S to optimize the sound with video?
COMPLAIN,@AppleSupport When will fix the problem with activation (error 0xE8000013)? Or your phones are now disposable?
IOS,@AppleSupport are you able to turn off the automatic brightness on this iOS update?
APPS,"@AppleSupport my iPhone 6 has deleted all my notes.  Not using email, not using cloud.  Didn't delete them.  How do I get them back?"
COMPLAIN,@AppleSupport what the hell is wrong with ur new update?? My phone keeps getting stuck and powering off (unresponsive). Get ur shit together
APPS,@AppleSupport why is my alarm sound not working when on silent and volume on lock screen not working after the update??
APPS,"@AppleSupport why does the podcast app freeze up and not work, constantly?"
APPS,"Hello,i have a question but i'm not sure is that possible, we have 150 ipads and we use apple configurator 2 for install apps to devices. First we connect devices to imac then we install with app configurator, can we install apps without connect to imac ?@AppleSupport #apple"
HUMAN,@AppleSupport I made an appt at Bridgeport on the phone. Rcvd no email. Can you please check if I have an appt?
HUMAN,@AppleSupport Can you DM me please? Am really stuck!! x
APPS,@applesupport Upgraded to #macOS #HighSierra - noticed that my iMessages/SMS are coming in out of order. Appear fine on my iPhone. Thoughts?
HARDWARE,I go to send one text and my phone battery went from 56% to 38% ??? @AppleSupport . It has also dropped to 32% while typing this tweet.
IOS,When the update will be available?  iOS 11.1 @AppleSupport.
HARDWARE,@applesupport is it possible to modify force touch actions on my Mac? For example make force touch click open a new tab.
APPS,"@AppleSupport hey, I just tried download the Final Cut Pro X trial but it says it's incompatible with High Sierra. Can I not download then?"
IOS,"@AppleSupport since the latest iOS update, my iphone6 is a lot choppier and slower. Anything I can do?"
IOS,@AppleSupport Why did iOS 11 absolutely cripple my phone?
HUMAN,"@AppleSupport hi, how long is the 20 months 0% interest for iPhone x offer on for?"
APPS,"@AppleSupport Do movies listed as DolbyVision in Tunes also support HDR10? Or is this random? Curiously, they are always listed as either or"
IOS,@AppleSupport my iphone 7 back up would not restore onto my X today. Lost all my text message history and apps as I had to set up from new. Any way I can get them back?
HUMAN,@AppleSupport Can we speak via email? __email__
COMPLAIN,@AppleSupport I lost more than 1 year activity data! Is this a joke? After reinstalling my back up why the hell I cannot get my Activity data?!
ICLOUD,@AppleSupport how can i reset security questions?i face this error:We don't have sufficient information to reset your security questions.
ICLOUD,@AppleSupport @115858 would I ever receive a txt saying my apple account had been locked and a link to a website to verify it? Seems odd!
APPS,@AppleSupport @SpotifyCares since ios 11 i cant skip songs on bluetooth and i no longer have spotify on my home screen or the swipe up? help
COMPLAIN,@AppleSupport @115858 I am waiting from 25 days for the issue in my iPhone to be resolved .how much time will it take?
APPS,"My whatsapp chats wiped, now it's been backed up with 0 texts - how can I get them all back from previous back ups? @AppleSupport"
IOS,@AppleSupport upgraded to iOS 11.1 today from 11.03 and iMessage has stopped working and will not activate. Suggestions?
APPS,@AppleSupport hey guys any news on why Apple Pay isnt working. Is this a global issue or just UK?
HARDWARE,iOS11.1 update available. Let's hope this sorts the horrific battery life since the last one eh @AppleSupport?
HUMAN,@AppleSupport hello?
APPS,@AppleSupport @124871 is there a way to close all open apps and return to home screen at once with Apple classroom?
COMPLAIN,@124883 @AppleSupport Seriously???
APPS,"@AppleSupport ""Time to Stand"" stopped working? Select Watch Icon, Select Health Icon, Set Wheelchair to ""No""."
ICLOUD,@AppleSupport Can you pair 2 AirPods to one iCloud account?
APPS,Hey @AppleSupport why did the iPhone update completely purge my downloaded music library? #notcool
COMPLAIN,@AppleSupport why do I have all these ? boxes on my timeline since I updated my phone...fix this trash.
HARDWARE,The new #IOS update is killing my battery. Why is this happening? @AppleSupport
HARDWARE,@AppleSupport  can you guys fix the software issue with the camera? I need this for my job. No issues when using it through Twitter app
HARDWARE,iPhone battery went from 100 to 54 in just 40 minutes. I updated the iOS yesterday. What gives? @AppleSupport
ICLOUD,Hey @AppleSupport my iCloud mail is getting hammered with spam. Did you turn off filters? Under attack? LMK.
COMPLAIN,@AppleSupport when are u releasing fix for #iOS #1103 ? it sucks
HARDWARE,Hey @AppleSupport is the iPhone 8 actually waterproof ? So I can go under water with it in a swimming pool ?
ICLOUD,@AppleSupport Hey Apple! Having issues with my ID and already changed my password. Trying to update my computer but says ID is disabled?
HUMAN,@AppleSupport is it possible to get a 2011 MacBook Pro battery serviced in store?
APPS,Hey @115858 @AppleSupport why does High Sierra keep crashing my Mac? its crashed 6 times in a day so far.
COMPLAIN,@AppleSupport what happened to your devices! I have 2 phones that are not working now! 6s and SE! Should we switch to @125607 ??
ICLOUD,@AppleSupport Do I have to do an account recovery?? Which I have to wait 24 hours for??
ICLOUD,@AppleSupport help I logged out of my Apple ID account and the verification code is sent to a broken phone????
HUMAN,"@AppleSupport Sorry, what is DM?"
